id; instituição; programa; grau_academico; título; data defesa; link
38; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; A Cooperação Intelectual entre os discentes na Educação Online: um método em ação; 2015-03-03; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2353506
39; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Epistemologia Genética e Neurociências – Construção do sujeito cognoscente; 2015-07-03; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2664181
40; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; Noção de conservação de energia e ensino de física no ensino médio : um estudo de epistemologia genética; 2014-07-11; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1361368
41; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; O PROCESSO DE APRENDIZAGEM E ENSINO EM ADMINISTRAÇÃO: ação cognitiva dos alunos na perspectiva do professor; 2018-07-20; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6381875
42; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; CONSTRUÇÃO DE MODELOS E TEORIAS FÍSICAS. Da Mecânica Clássica de Newton à Mecânica Relativística de Einstein. Um estudo de Epistemologia Genética; 2015-02-27; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2621791
43; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; AÇÕES EDUCATIVAS EM SITUAÇÃO DE ABRIGAGEM E DESENVOLVIMENTO MORAL : A PERSPECTIVA DOS CUIDADORES EM NÚCLEO DE ABRIGOS RESIDENCIAIS; 2012-06-01; 
44; UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO; PSICOLOGIA; Mestrado; Relação entre aspectos evolutivos do jogo simbólico e da linguagem: Um estudo com crianças de 5 anos. (Banca: UFES, UFES, UNIV. ANHEMBI-MORUMBI); 2011-08-01; 
45; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; GEOGRAFIA; Mestrado; A ESPACIALIDADE E A TEMPORALIDADE NAS REPRESENTAÇÕES DOS ALUNOS DO QUINTO ANO NO CONTEXTO DA PRÉ-HISTÓRIA; 2015-04-13; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2371933
46; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; Construção de conhecimento na área tecnológica : estudo de casos múltiplos sobre a temática circuitos elétricos.; 2015-08-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2660496
47; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; APRENDIZAGEM do ADOLESCENTE: reconstituição do expoente 1  na forma invisível; 2011-04-01; 
48; UNIVERSIDADE DO PLANALTO CATARINENSE; EDUCAÇÃO; Mestrado; CONECTADOS POR SOFTWARES APLICATIVOS: POSSIBILIDADES DO USO DAS TECNOLOGIAS MÓVEIS PARA A OCORRÊNCIA DE SITUAÇÕES COOPERATIVAS NO ENSINO MÉDIO; 2018-02-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6401368
49; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; TRABALHO COLETIVO E AUTONOMIA DE PROFESSORES: concepções e valores em construção no projeto de extensão Trajetórias Criativas; 2017-01-26; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5040534
50; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; EPISTEMOLOGIA GENÉTICA E PRODUÇÃO DE TEXTOS NA ESCOLA: ESTUDO DA CONSTRUÇÃO DA COERÊNCIA EM NARRATIVAS ESCRITAS; 2012-12-01; 
51; UNIVERSIDADE FEDERAL DO PARANÁ; EDUCAÇÃO; Doutorado; A PRÁTICA PERCUSSIVA DE BEBÊS:  ANÁLISE MICROGENÉTICA E REFLEXÕES PEDAGÓGICAS; 2017-03-30; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5011885
52; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Das Relações de Aula às Possibilidades de  Desenvolvimento Moral na Educação Física; 2015-04-10; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2655792
53; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; O Esquema de Ação na Constituição do Sujeito Epistêmico: Contribuições da Epistemologia Genética à Teoria do Conhecimento.; 2009-01-01; 
54; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; FORMAÇÃO INICIAL DE PROFESSORES DE HISTÓRIA E A TOMADA DE CONSCIÊNCIA DAS RELAÇÕES ESPAÇO-TEMPORAIS; 2010-11-01; 
55; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; ARTES CÊNICAS; Mestrado; CONHECIMENTO EM TEATRO E AFETIVIDADE: Desenvolvimento moral e experiências discentes na Educação Básica; 2016-04-19; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3623565
56; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Dificuldades acadêmicas que interferem na aprendizagem de estudantes universitários – Um estudo fundamentado na Epistemologia Genética; 2015-01-08; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2655658
57; Universidade Federal do Amazonas; Ensino de Ciências e Matemática; Mestrado; Processos Pedagógicos e a Construção do Conhecimento Matemático no Ensino Fundamental; 2016-04-26; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3924739
58; UNIVERSIDADE ESTADUAL DE MARINGÁ; EDUCAÇÃO PARA A CIÊNCIA E A MATEMÁTICA; Doutorado; Adaptação na Epistemologia Genética: reflexões sobre o aspecto social do conhecimento e implicações para a Educação Científica; 2014-08-28; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2123895
59; PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS; EDUCAÇÃO; Mestrado; Metacognição e aprendizagem  um estudo das perspectivas da epistemologia genética e da teoria histórico-cultural; 2012-03-01; 
60; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; INFORMÁTICA NA EDUCAÇÃO; Doutorado; Produção Didática do Estudante de Licenciatura em Computação Epistemologia Genética e Neurociência Cognitiva; 2018-04-06; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6364420
61; UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( MARÍLIA ); EDUCAÇÃO; Mestrado; PENSAMENTO, LINGUAGEM E LÍNGUA ESCRITA SEGUNDO A EPISTEMOLOGIA GENÉTICA: PROCESSOS E CONSTRUÇÕES ANÁLOGOS; 2016-03-09; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3553584
62; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; FILOSOFIA; Mestrado; COMO É POSSÍVEL O CONHECIMENTO MATEMÁTICO: UMA ANÁLISE A PARTIR DA EPISTEMOLOGIA GENÉTICA; 2014-02-27; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1440245
63; UNIVERSIDADE ESTADUAL DE LONDRINA; EDUCAÇÃO; Mestrado; A CONSTRUÇÃO DE CONHECIMENTOS CARTOGRÁFICOS E GEOGRÁFICOS: UM ESTUDO ACERCA DA REPRESENTAÇÃO DO ESPAÇO E SUA RELAÇÃO COM O CONHECIMENTO SOCIAL NA PERSPECTIVA PIAGETIANA; 2018-02-27; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6747656
64; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; INFORMÁTICA NA EDUCAÇÃO; Doutorado; "Formação a distância e prática da alfabetização  Avaliação do impacto do uso de recursos informatizados no ensino da leitura"; 2009-04-01; 
65; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; EDUCAÇÃO; Mestrado; ntervenção pedagógica e noções sobre o meio ambiente: a construção do conhecimento social a luz da epistemologia genética; 2012-02-01; 
66; UNIVERSIDADE EST.PAULISTA JÚLIO DE MESQUITA FILHO/MARILIA; EDUCAÇÃO; Mestrado; Ideias de estudantes sobre a origem da Terra e da vida e suas relações com o desenvolvimento cognitivo: um estudo psicogenético; 2013-02-25; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=97576
67; UNIVERSIDADE FEDERAL DE PELOTAS; ENSINO DE CIÊNCIAS E MATEMÁTICA; Mestrado Profissional; O Ensino da Evolução Biológica sob a Perspectiva da Construção do Conhecimento; 2015-07-03; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2811905
68; Fundação Universidade de Passo Fundo; EDUCAÇÃO; Mestrado; AUTONOMIA, AUTORIDADE E FORMAÇÃO  MORAL EM KANT E PIAGET; 2015-08-14; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2656812
69; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; A memória na construção do conhecimento musical; 2009-03-01; 
70; UNIVERSIDADE ESTADUAL DE CAMPINAS; EDUCAÇÃO; Doutorado; MEMÓRIA DE TRABALHO, ESTÁGIO DE DESENVOLVIMENTO INTELECTUAL E DESEMPENHO DE ALUNOS DE 5º ANO NA PROVA BRASIL; 2018-02-26; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6359755
71; UNIVERSIDADE ESTADUAL DE MARINGÁ; EDUCAÇÃO PARA A CIÊNCIA E A MATEMÁTICA; Doutorado; A PRÁTICA DOCENTE NA EDUCAÇÃO A DISTÂNCIA: UMA ANÁLISE SEGUNDO A NATUREZA DO CONHECIMENTO CIENTÍFICO; 2017-08-14; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=5127754
72; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA SOCIAL; Mestrado; Um estudo sobre o papel da tecnologia da informação e da utilização dos meios digitais na vida cotidiana e no ambiente de trabalho a partir da teoria das representações sociais de Serge Moscovici; 2011-05-01; 
73; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; PLANEJAMENTO URBANO E REGIONAL; Doutorado; CONSTRUÇÃO E ABERTURA: DIÁLOGOS CHRISTOPHER ALEXANDER  JEAN PIAGET; 2011-08-01; 
74; UNIVERSIDADE FEDERAL DE GOIÁS; EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA; Mestrado; JOGOS NO ENSINO DE QUÍMICA: UM ESTUDO SOBRE A PRESENÇA/AUSÊNCIA DE TEORIAS DE ENSINO E APRENDIZAGEM À LUZ DO V EPISTEMOLÓGICO DE GOWIN; 2017-08-15; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=6042374
75; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; O JOGO DO CONHECIMENTO NO DIA-A-DIA DA EDUCAÇÃO INFANTIL; 2012-02-01; 
76; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; FORMAÇÃO A DISTÂNCIA E ENSINO DE MATEMÁTICA: UM ESTUDO COM PROFESSORAS DOS ANOS INICIAIS DO ENSINO FUNDAMENTAL; 2012-02-01; 
77; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA SOCIAL; Mestrado; Representações sociais de fenômenos anômalos em profissionais clínicos de psicologia e psiquiatria; 2010-04-01; 
78; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; A Noção de Liberdade: a compreensão dos limites individuais e interindividuais na construção da autonomia.; 2009-03-01; 
79; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; Noções de Referencial Inercial: um estudo de Epistemologia Genética com alunos de Física; 2011-02-01; 
80; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; AVALIAÇÃO EM MATEMÁTICA: Concepções de Professores da Educação Básica; 2013-03-21; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=110249
81; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA SOCIAL; Doutorado; Uma hipótese de Werner Heisenberg e o sentimento de solidão humana determinado pelo impacto das mudanças na explicação do cosmos: um estudo a partir de representações sociais na literatura ocidental; 2010-08-01; 
82; UNIVERSIDADE DE SÃO PAULO; PSICOLOGIA SOCIAL; Doutorado; A construção do conhecimento em Espinosa e Piaget: da Natureza à Ética; 2014-08-07; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=1327415
83; UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( MARÍLIA ); FILOSOFIA; Mestrado; A RESSIGNIFICAÇÃO NA TERAPIA COGNITIVA: UMA ANÁLISE A PARTIR DO MODELO DO SISTEMA DE ESQUEMA DE AÇÕES E OPERAÇÕES SOBRE SÍMBOLOS E SIGNOS.; 2016-02-11; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3592300
84; UNIVERSIDADE ESTADUAL DO CENTRO-OESTE; Educação; Mestrado; O Processo de Construção da Moral e da Cognição de Crianças com Deficiência Intelectual: Possíveis Interferências Escolares.; 2015-04-06; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=3533346
85; UNIVERSIDADE FEDERAL DE SÃO PAULO; EDUCAÇÃO E SAÚDE NA INFÂNCIA E ADOLESCÊNCIA; Mestrado; LAURO DE OLIVEIRA LIMA E A ESCOLA SECUNDÁRIA: um estudo de sua produção intelectual ao longo de sua trajetória profissional (1945-1964); 2015-12-15; https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/trabalhoConclusao/viewTrabalhoConclusao.jsf?popup=true&id_trabalho=2759514
86; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Doutorado; A NOÇÃO DE COOPERAÇÃO: ANÁLISE DA GÊNESE DO CONCEITO; 2012-02-01; 
87; UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO; MÚSICA; Doutorado; INTEGRAÇÃO DE ABORDAGENS DA TEORIA E DA PRÁTICA EM ESCOLAS DE MÚSICA ATRAVES DAS REPRESENTAÇÕES DO FAZER MUSICAL. UM ESTUDO DE CASO: O CURSO DE FORMAÇÃO INICIAL DA ESCOLA DE MÚSICA VILLA-LOBOS NO RIO DE JANEIRO; 2011-08-01; 
88; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL; EDUCAÇÃO; Mestrado; O NOME PRÓPRIO: Um universo construído pela criança; 2011-02-01; 
